,area_name_en,instance_date,meter_sale_price
132,Marsa Dubai,2024-10-08,11525.57
133,Marsa Dubai,2022-10-03,8698.94
134,Marsa Dubai,2021-01-14,7379.13
135,Marsa Dubai,2016-09-22,11213.14
136,Marsa Dubai,2017-03-09,11840.29
137,Marsa Dubai,2023-06-05,10593.22
138,Marsa Dubai,2024-12-11,8651.13
139,Marsa Dubai,2016-04-18,20920.89
140,Marsa Dubai,2025-04-16,14015.38
141,Marsa Dubai,2016-02-11,15547.7
142,Marsa Dubai,2016-07-21,12916.69
143,Marsa Dubai,2022-12-05,8298.02
144,Marsa Dubai,2023-08-25,9546.54
145,Marsa Dubai,2022-12-21,10336.39
146,Marsa Dubai,2022-12-08,10367.7
147,Marsa Dubai,2022-12-06,27771.4
148,Marsa Dubai,2022-12-20,24103.58
149,Marsa Dubai,2023-02-28,26049.08
150,Marsa Dubai,2022-10-18,23803.82
151,Marsa Dubai,2022-12-20,24162.55
152,Marsa Dubai,2024-04-22,25857.14
153,Marsa Dubai,2022-12-21,24392.14
154,Marsa Dubai,2022-12-15,30558.93
155,Marsa Dubai,2022-11-14,31299.95
156,Marsa Dubai,2022-12-16,26117.63
157,Marsa Dubai,2025-05-09,22199.7
158,Marsa Dubai,2022-04-29,13135.09
159,Marsa Dubai,2021-04-15,18201.22
160,Marsa Dubai,2018-03-28,15069.46
161,Marsa Dubai,2019-09-30,21527.8
162,Marsa Dubai,2018-03-27,7107.9
163,Marsa Dubai,2021-01-14,6566.32
164,Marsa Dubai,2022-06-29,13138.69
165,Marsa Dubai,2019-04-04,12705.9
166,Marsa Dubai,2020-03-09,8453.22
167,Marsa Dubai,2016-08-11,17251.21
168,Marsa Dubai,2017-05-08,19558.25
169,Marsa Dubai,2020-01-21,23215.07
170,Marsa Dubai,2017-06-06,21244.31
171,Marsa Dubai,2022-08-08,28655.23
172,Marsa Dubai,2021-06-07,9836.78
173,Marsa Dubai,2021-11-03,19676.24
174,Marsa Dubai,2020-06-04,26369.42
175,Marsa Dubai,2016-07-28,8384.06
176,Marsa Dubai,2025-05-20,14317.83
177,Marsa Dubai,2016-05-10,9950.86
178,Marsa Dubai,2024-07-02,12534.87
179,Marsa Dubai,2025-06-19,13598.78
180,Marsa Dubai,2023-03-27,10641.53
181,Marsa Dubai,2025-01-07,12161.75
182,Marsa Dubai,2018-08-27,7079.73
183,Marsa Dubai,2023-01-23,8897.71
184,Marsa Dubai,2025-05-13,15390.73
185,Marsa Dubai,2016-07-18,8804.46
186,Marsa Dubai,2020-03-04,15848.95
187,Marsa Dubai,2023-04-27,13575.61
188,Marsa Dubai,2018-12-05,7675.44
189,Marsa Dubai,2021-09-14,9578.54
190,Marsa Dubai,2016-11-14,13090.68
191,Marsa Dubai,2023-07-11,7539.42
192,Marsa Dubai,2017-05-08,12919.16
193,Marsa Dubai,2024-05-22,19385.78
194,Marsa Dubai,2024-05-21,21538.56
195,Marsa Dubai,2024-05-28,21732.31
196,Marsa Dubai,2024-05-27,21721.55
197,Marsa Dubai,2021-08-24,9732.74
198,Marsa Dubai,2024-11-29,13678.45
199,Marsa Dubai,2018-09-18,9802.96
200,Marsa Dubai,2021-06-23,12294.76
201,Marsa Dubai,2019-11-25,12757.44
202,Marsa Dubai,2023-08-22,12855.72
203,Marsa Dubai,2022-04-25,7229.64
204,Marsa Dubai,2020-02-24,6800.73
